券商買賣股票成交價量資訊
股票代碼,="1101"
序號,券商,價格,買進股數,賣出股數,,序號,券商,價格,買進股數,賣出股數
1,1020合　　庫,45.80,0,4000,,2,1020合　　庫,45.85,0,5000 
3,1020合　　庫,46.00,0,8000,,4,1021合庫台中,45.95,1000,0 
5,1021合庫台中,46.00,0,3000,,6,1021合庫台中,46.10,4000,0 
7,1022合庫台南,46.00,0,2000,,8,1022合庫台南,46.05,0,3000 
9,1023合庫高雄,45.95,0,1000,,10,1023合庫高雄,46.00,0,6000 
11,1025合庫基隆,46.00,0,1000,,12,1028合庫彰化,45.70,0,1000 
13,1028合庫彰化,45.80,0,5000,,14,1029合庫鳳山,45.55,10000,0 
15,1029合庫鳳山,45.60,0,4000,,16,1029合庫鳳山,45.65,0,3000 
17,1029合庫鳳山,45.95,2000,1000,,18,1029合庫鳳山,46.10,5000,0 
19,102A合庫新竹,46.05,2000,0,,20,102C合庫自強,45.80,2000,5000 
21,102C合庫自強,45.95,0,3000,,22,102C合庫自強,46.00,13000,8000 
23,102C合庫自強,46.05,1000,0,,24,102E合庫桃園,46.00,1000,11000 
25,102G合庫三重,46.00,0,1000,,26,1030土　　銀,45.80,0,1000 
27,1030土　　銀,45.95,100,1000,,28,1030土　　銀,46.00,2000,0 
29,1031土銀台中,45.95,0,5000,,30,1032土銀台南,45.60,1000,0 
31,1032土銀台南,45.95,0,806,,32,1032土銀台南,46.00,0,2000 
33,1032土銀台南,46.05,0,1000,,34,1033土銀高雄,45.55,0,2000 
35,1033土銀高雄,45.75,1000,0,,36,1033土銀高雄,45.80,0,2000 
37,1033土銀高雄,45.90,0,2000,,38,1033土銀高雄,45.95,1000,0 
39,1033土銀高雄,46.05,1000,0,,40,1034土銀嘉義,45.80,20000,0 
41,1034土銀嘉義,46.00,1000,0,,42,1034土銀嘉義,46.05,2000,0 
43,1035土銀新竹,45.75,1000,0,,44,1035土銀新竹,46.00,0,4000 
45,1037土銀花蓮,45.60,0,1000,,46,1037土銀花蓮,46.00,0,2000 
47,1038土銀和平,45.55,0,2000,,48,1039土銀士林,45.60,0,3000 
49,1039土銀士林,45.80,1000,0,,50,1039土銀士林,45.85,0,3000 
51,103A土銀建國,45.80,1000,0,,52,103A土銀建國,45.95,0,10000 
53,103A土銀建國,46.00,0,10000,,54,103B土銀彰化,45.80,0,10000 
55,103C土銀白河,46.00,0,1000,,56,103F土銀南港,45.80,1000,1000 
57,1040臺    銀,45.60,0,5000,,58,1040臺    銀,45.80,0,7000 
59,1040臺    銀,45.85,0,153000,,60,1040臺    銀,45.90,4000,18000 
61,1040臺    銀,45.95,9000,5000,,62,1040臺    銀,46.00,105000,21000 
63,1040臺    銀,46.05,0,5000,,64,1040臺    銀,46.10,0,1000 
65,1041臺銀鳳山,45.65,0,1000,,66,1041臺銀鳳山,45.70,0,3000 
67,1041臺銀鳳山,45.75,5000,10000,,68,1041臺銀鳳山,45.80,0,11000 
69,1041臺銀鳳山,45.85,0,11000,,70,1041臺銀鳳山,45.95,1000,9055 
71,1041臺銀鳳山,46.00,0,15000,,72,1041臺銀鳳山,46.05,0,4000 
73,1041臺銀鳳山,46.10,0,1000,,74,1042臺銀臺南,45.75,1000,6000 
75,1042臺銀臺南,45.80,6000,0,,76,1042臺銀臺南,45.85,0,1000 
77,1042臺銀臺南,45.95,1000,1000,,78,1042臺銀臺南,46.00,0,24000 
79,1042臺銀臺南,46.05,0,3000,,80,1043臺銀民權,45.55,1000,0 
81,1043臺銀民權,45.65,0,2000,,82,1043臺銀民權,45.70,0,2000 
83,1043臺銀民權,45.75,4000,0,,84,1043臺銀民權,45.80,9000,4000 
85,1043臺銀民權,45.85,0,2000,,86,1043臺銀民權,45.90,3000,6000 
87,1043臺銀民權,45.95,3000,4000,,88,1043臺銀民權,46.00,2000,0 
89,1043臺銀民權,46.05,8000,5000,,90,1045臺銀新竹,45.80,0,5000 
91,1045臺銀新竹,45.85,0,5000,,92,1045臺銀新竹,45.95,1000,424 
93,1045臺銀新竹,46.00,0,2000,,94,104A臺銀臺中,45.65,2000,0 
95,104A臺銀臺中,45.70,1000,2000,,96,104A臺銀臺中,45.75,0,1000 
97,104A臺銀臺中,45.80,0,2000,,98,104A臺銀臺中,45.85,1000,12000 
99,104A臺銀臺中,45.90,0,1000,,100,104A臺銀臺中,45.95,1500,8000 
101,104A臺銀臺中,46.00,1000,32000,,102,104A臺銀臺中,46.05,0,11000 
103,104C臺銀高雄,45.75,3000,0,,104,104C臺銀高雄,45.85,0,5000 
105,104C臺銀高雄,45.90,1000,0,,106,104C臺銀高雄,45.95,0,30070 
107,104C臺銀高雄,46.00,0,1000,,108,104D臺銀金山,45.75,6000,0 
109,104D臺銀金山,45.80,3000,7000,,110,104D臺銀金山,45.85,1000,0 
111,104D臺銀金山,45.90,0,1000,,112,104D臺銀金山,45.95,0,17000 
113,104D臺銀金山,46.00,1000,8000,,114,104D臺銀金山,46.05,0,1000 
115,1110企    銀,46.00,0,1000,,116,1111企銀台中,45.75,0,1000 
117,1111企銀台中,45.95,2000,0,,118,1111企銀台中,46.00,0,7000 
119,1112企銀台南,45.80,0,1000,,120,1112企銀台南,45.85,0,2000 
121,1112企銀台南,46.00,0,1000,,122,1112企銀台南,46.05,0,2000 
123,1113企銀九如,45.95,0,200,,124,1113企銀九如,46.00,0,5000 
125,1114企銀嘉義,45.80,0,10000,,126,1116企銀屏東,45.60,0,1000 
127,1117企銀竹北,45.90,0,2000,,128,1117企銀竹北,46.10,3000,0 
129,1118企銀豐原,45.95,200,0,,130,111A企銀民雄,45.80,0,2000 
131,111A企銀民雄,45.95,0,2000,,132,111B台企建成,45.95,1000,10 
133,111B台企建成,46.05,1000,0,,134,111C台企三民,45.80,0,4000 
135,111D企銀台北,45.80,0,2000,,136,111D企銀台北,46.00,0,1000 
137,111E企銀桃園,46.00,0,1000,,138,111F企銀北高,45.95,0,8000 
139,1160日    盛,45.60,0,7000,,140,1160日    盛,45.65,1000,0 
141,1160日    盛,45.70,0,50000,,142,1160日    盛,45.80,1000,0 
143,1160日    盛,45.95,0,8000,,144,1160日    盛,46.00,794000,3000 
145,1160日    盛,46.05,0,2000,,146,1161日盛忠孝,45.65,4000,0 
147,1161日盛忠孝,45.75,0,2000,,148,1161日盛忠孝,45.80,0,1000 
149,1161日盛忠孝,45.90,7000,0,,150,1161日盛忠孝,46.00,1000,1000 
151,1162日盛台南,45.55,0,2000,,152,1162日盛台南,45.60,0,15000 
153,1162日盛台南,45.65,1000,10000,,154,1162日盛台南,45.80,0,1000 
155,1162日盛台南,46.00,0,1000,,156,1162日盛台南,46.05,0,1000 
157,1163日盛台中,45.60,0,4000,,158,1163日盛台中,45.75,0,9000 
159,1163日盛台中,45.80,2000,0,,160,1163日盛台中,45.95,0,10 
161,1163日盛台中,46.00,1000,0,,162,1164日盛內湖,45.55,1000,0 
163,1164日盛內湖,45.65,0,2000,,164,1165日盛板橋,45.75,5000,0 
165,1165日盛板橋,45.80,0,3000,,166,1165日盛板橋,45.95,0,5000 
167,1165日盛板橋,46.00,1000,5000,,168,1165日盛板橋,46.05,10000,2000 
169,1166日盛雙和,45.60,1000,0,,170,1166日盛雙和,45.90,0,1000 
171,1166日盛雙和,46.00,0,1000,,172,1167日盛嘉義,45.55,0,5000 
173,1167日盛嘉義,45.95,1000,0,,174,1167日盛嘉義,46.05,1000,0 
175,1167日盛嘉義,46.10,0,1000,,176,1168日盛高雄,45.80,1000,0 
